id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1311056411414192130,1310914864588689408,2020-09-29 23:33:01 CEST,2020-09-29,23:33:01,+0200,21093673,merseyview,Gail Hughes,,"@Jennyfurfuls @docrussjackson @BorisJohnson Johnson, yep he is",en,[],[],[],1,0,2,[],[],https://twitter.com/merseyview/status/1311056411414192130,False,,0,,Liverpool,,,,,,"[{'screen_name': 'Jennyfurfuls', 'name': 'Jennifer Baker 💙', 'id': '1684112772'}, {'screen_name': 'docrussjackson', 'name': 'GET A GRIP', 'id': '2813049204'}, {'screen_name': 'BorisJohnson', 'name': 'Boris Johnson', 'id': '3131144855'}]",,,,
1311044584655523840,1311044584655523840,2020-09-29 22:46:01 CEST,2020-09-29,22:46:01,+0200,1032586657978048513,etrayford,Emma Trayford,,"Absolutely gutted, devastated and gobsmacked! Words cannot describe what I’m feeling! Annoyed, frustrated that we actually stuck to the rules and this ... @BorisJohnson @Knowsley_CCG #coronavirus #COVID19",en,"[{'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}, {'screen_name': 'knowsley_ccg', 'name': 'nhs knowsley 💙 - nhs.uk/coronavirus', 'id': '3576334397'}]",[],[],0,0,0,"['coronavirus', 'covid19']",[],https://twitter.com/ETrayford/status/1311044584655523840,False,,0,,Liverpool,,,,,,[],,,,
1311044088377081861,1311044088377081861,2020-09-29 22:44:03 CEST,2020-09-29,22:44:03,+0200,1032586657978048513,etrayford,Emma Trayford,,"The only place I go is on a school run, the only place my children go is to school - my daughter has tested positive - iwill get tested 8am! What does this tell you @BorisJohnson @Knowsley_CCG @COVIDLiverpool @UKCovid19Stats #coronavirus #COVID19 #schoolsreopening #BorisJohnson",en,"[{'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}, {'screen_name': 'knowsley_ccg', 'name': 'nhs knowsley 💙 - nhs.uk/coronavirus', 'id': '3576334397'}, {'screen_name': 'covidliverpool', 'name': 'liverpool coronavirus official', 'id': '1237772075659595785'}, {'screen_name': 'ukcovid19stats', 'name': 'uk covid-19', 'id': '1242887487313391616'}]",[],[],0,0,0,"['coronavirus', 'covid19', 'schoolsreopening', 'borisjohnson']",[],https://twitter.com/ETrayford/status/1311044088377081861,False,,0,,Liverpool,,,,,,[],,,,
1311042006240681994,1310914864588689408,2020-09-29 22:35:46 CEST,2020-09-29,22:35:46,+0200,527858433,jamesleon6,james leon*,,@BorisJohnson Incompetent just resign,en,[],[],[],0,0,0,[],[],https://twitter.com/jamesleon6/status/1311042006240681994,False,,0,,Liverpool,,,,,,"[{'screen_name': 'BorisJohnson', 'name': 'Boris Johnson', 'id': '3131144855'}]",,,,
1311023186478235650,1311023186478235650,2020-09-29 21:20:59 CEST,2020-09-29,21:20:59,+0200,450619918,ryg1111,RyG,,"Boris Johnson typifies that if your born in money and go to a posh private school, it doesnt matter if you're thick, physically challenged or clearly awful at manual labour, you will still be afforded more chances than those from poor families who excel at something",en,[],[],[],0,0,0,[],[],https://twitter.com/ryg1111/status/1311023186478235650,False,https://twitter.com/SkyNews/status/1310964587051786243,0,,Liverpool,,,,,,[],,,,
1311013676384739333,1310914864588689408,2020-09-29 20:43:12 CEST,2020-09-29,20:43:12,+0200,242228336,t_chills,The Chills,,@BorisJohnson You haven’t a fucking clue,en,[],[],[],0,0,0,[],[],https://twitter.com/t_chills/status/1311013676384739333,False,,0,,Liverpool,,,,,,"[{'screen_name': 'BorisJohnson', 'name': 'Boris Johnson', 'id': '3131144855'}]",,,,
1311004527726747648,1311004527726747648,2020-09-29 20:06:51 CEST,2020-09-29,20:06:51,+0200,1433444286,smiggerpaul,Paul Smith ✋,,PM @BorisJohnson has revealed his plans to destroy the BBC as we know it - join me and sign the petition to stop him today! #SaveTheBBC  https://t.co/4NiqUnk7iB,en,"[{'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",['https://speakout.38degrees.org.uk/campaigns/our-bbc-not-yours-boris?utm_campaign=J6fYhCQngi&utm_content=&utm_medium=twitter&utm_source=share'],[],0,0,0,['savethebbc'],[],https://twitter.com/smiggerpaul/status/1311004527726747648,False,,0,,Liverpool,,,,,,[],,,,
1311003054502809600,1310987463360425985,2020-09-29 20:01:00 CEST,2020-09-29,20:01:00,+0200,1224428417497681927,graciaskray,𝙶aseous 𝙲𝚕𝚊𝚢 ™,,"@USApride1982 @underscoremarx I tweeted yesterday that despite us having Boris Johnson in charge here we are still looking in wonder at who America has as the two best candidates to run things there. Honestly, how did it come to this?",en,[],[],[],0,0,1,[],[],https://twitter.com/GraciasKray/status/1311003054502809600,False,,0,,Liverpool,,,,,,"[{'screen_name': 'USApride1982', 'name': 'Proud American', 'id': '1302860880724389888'}, {'screen_name': 'underscoremarx', 'name': 'Prime in a stair', 'id': '245316802'}]",,,,
1311000947615846413,1310914864588689408,2020-09-29 19:52:37 CEST,2020-09-29,19:52:37,+0200,1224428417497681927,graciaskray,𝙶aseous 𝙲𝚕𝚊𝚢 ™,,@BorisJohnson  https://t.co/aTy94lwqDT,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/EjGcaLcWoAECJjP.jpg'],0,0,0,[],[],https://twitter.com/GraciasKray/status/1311000947615846413,False,,1,https://pbs.twimg.com/tweet_video_thumb/EjGcaLcWoAECJjP.jpg,Liverpool,,,,,,[],,,,
1311000919971188736,1311000919971188736,2020-09-29 19:52:31 CEST,2020-09-29,19:52:31,+0200,207176521,micalouiseadams,Mica-Louise Adams,,£3.60 for a pint of Stella????? No wonder Boris Johnson and Matt Hancock can barely fucking string a sentence together,en,[],[],[],0,0,20,[],[],https://twitter.com/micalouiseadams/status/1311000919971188736,False,https://twitter.com/will_1889/status/1310495476765134850,0,,Liverpool,,,,,,[],,,,
