id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1322321995636367360,1322313683846967297,2020-10-31 00:38:25 CET,2020-10-31,00:38:25,+0200,875612784863531008,juliest101,Julie Street 🇪🇺💙💙💙,,@mi6rogue @BorisJohnson #JohnsonLockdown,und,[],[],[],0,0,0,['johnsonlockdown'],[],https://twitter.com/Juliest101/status/1322321995636367360,False,,0,,Liverpool,,,,,,"[{'screen_name': 'mi6rogue', 'name': 'MI6 ROGUE', 'id': '1229752606714728454'}, {'screen_name': 'BorisJohnson', 'name': 'Boris Johnson', 'id': '3131144855'}]",,,,
1322295510145863680,1322295510145863680,2020-10-30 22:53:11 CET,2020-10-30,22:53:11,+0200,364497007,taw0412,Terri-ann Waldock,,@JamieWebster94 love this album!! I’d there was a theme tune for 2020 this would be it!! @BorisJohnson and his cronies need to have a listen #LetTheMusicPlay  https://t.co/naCS9ZSia3,en,"[{'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",[],['https://pbs.twimg.com/media/Elm8waKW0AIGb7q.jpg'],1,1,32,['letthemusicplay'],[],https://twitter.com/TAW0412/status/1322295510145863680,False,,1,https://pbs.twimg.com/media/Elm8waKW0AIGb7q.jpg,Liverpool,,,,,,[],,,,
1322281345415073792,1322281345415073792,2020-10-30 21:56:54 CET,2020-10-30,21:56:54,+0200,32502203,liverpool_jon,Jonathan Marshall. Remainer. 💙 😷🐑,,So it looks like yet again the Gov't have no clue as @DominicRaab announces a tier above a 3. When do tier numbers stop? When only essential shopping and 1 hour exercise is the only things you can do in a tier??? By the way @BorisJohnson enjoying the sun?   https://t.co/9C7z9MiLrd,en,"[{'screen_name': 'dominicraab', 'name': 'dominic raab', 'id': '4764882552'}, {'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",['https://www.theguardian.com/world/2020/oct/30/dominic-raab-refuses-to-deny-possibility-of-tier-4-covid-restrictions'],[],0,0,0,[],[],https://twitter.com/liverpool_Jon/status/1322281345415073792,False,,0,,Liverpool,,,,,,[],,,,
1322268659201572867,1322268659201572867,2020-10-30 21:06:29 CET,2020-10-30,21:06:29,+0200,1425190063,fazza_baybay,Fazza_BayBay,,All main stream media calling for lockdown and circuit breakers are absolute scum. People like @Keir_Starmer @AndyBurnhamGM have no idea of data or the usual this time of year. I hate tories but I hope @BorisJohnson tells you all to do one and #SayNoToLockdown,en,"[{'screen_name': 'keir_starmer', 'name': 'keir starmer', 'id': '2425571623'}, {'screen_name': 'andyburnhamgm', 'name': 'andy burnham', 'id': '143779403'}, {'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",[],[],1,0,0,['saynotolockdown'],[],https://twitter.com/Fazza_BayBay/status/1322268659201572867,False,,0,,Liverpool,,,,,,[],,,,
1322257679973257216,1322257679973257216,2020-10-30 20:22:51 CET,2020-10-30,20:22:51,+0200,72377367,stanley_walker,Stanley_Walker,,How can @BorisJohnson retain any credibility by continuing negotiations with these bandits. Any reasonable person would say stick your kangaroo court where the sun doesn't shine. We're off to trade with friends.,en,"[{'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",[],[],0,0,0,[],[],https://twitter.com/Stanley_Walker/status/1322257679973257216,False,https://twitter.com/objectsmith/status/1322184608331538439,0,,Liverpool,,,,,,[],,,,
1322202141180809222,1322202141180809222,2020-10-30 16:42:10 CET,2020-10-30,16:42:10,+0200,32502203,liverpool_jon,Jonathan Marshall. Remainer. 💙 😷🐑,,Well @BorisJohnson you've got what you and Cummings wanted more infected than 1st wave. Still looking at #HerdImmunity?  Not that you'd notice. Apparently your in the sun on holiday?  Sage says government's worst case Covid scenario is set to be exceeded   https://t.co/5KecYXYuik,en,"[{'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",['https://f7td5.app.goo.gl/uLrPuy'],[],0,0,0,['herdimmunity'],[],https://twitter.com/liverpool_Jon/status/1322202141180809222,False,,0,,Liverpool,,,,,,[],,,,
1322167141475536897,1322167141475536897,2020-10-30 14:23:05 CET,2020-10-30,14:23:05,+0200,2397973519,nwkiduk,On the mend,,"Boris is said to be comfortable and in a stable condition, having been freed earlier. Mr Hancock is said to have visited, finding the PM to be in good spirits. #BorisJohnson  ‘Massive and disgusting’ 10-tonne fatberg cleared from London sewer  https://t.co/f1XRyXNxBo",en,[],['https://www.independent.co.uk/news/uk/home-news/fatberg-london-belgravia-cadogan-place-sewer-thames-water-b1444222.html'],[],0,2,1,['borisjohnson'],[],https://twitter.com/NWkidUK/status/1322167141475536897,False,,0,,Liverpool,,,,,,[],,,,
1322163211685212161,1322163211685212161,2020-10-30 14:07:28 CET,2020-10-30,14:07:28,+0200,924801292358377474,niccyrich,Niccy Rich 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇰🇳,,@BorisJohnson or are you just going to keep repeating the same actions and hoping to get different results? #getagrip #Covid19UK,en,[],[],[],0,0,0,"['getagrip', 'covid19uk']",[],https://twitter.com/NiccyRich/status/1322163211685212161,False,,0,,Liverpool,,,,,,[],,,,
1322162917844897792,1322162917844897792,2020-10-30 14:06:18 CET,2020-10-30,14:06:18,+0200,924801292358377474,niccyrich,Niccy Rich 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇰🇳,,@BorisJohnson any thoughts to stockpile covid tests? So you can test almost everyone in the UK within a short period of time. Have a better idea of the virus spread #Covid19UK,en,[],[],[],0,0,0,['covid19uk'],[],https://twitter.com/NiccyRich/status/1322162917844897792,False,,0,,Liverpool,,,,,,[],,,,
1322125775273893889,1322125775273893889,2020-10-30 11:38:43 CET,2020-10-30,11:38:43,+0200,314697828,robches42,R G C,,@michaelgove let’s hope you and the idiot @BorisJohnson  don’t take us down this path of an Australian / North Korean deal #BrexitReality,en,"[{'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",[],[],0,0,0,['brexitreality'],[],https://twitter.com/robches42/status/1322125775273893889,False,https://twitter.com/Ottojizzmark/status/1321956768352784385,0,,Liverpool,,,,,,[],,,,
1321975154289856513,1321975154289856513,2020-10-30 01:40:12 CET,2020-10-30,01:40:12,+0200,21743031,harwood2112,Alan Harwood,,I've signed the petition calling for @RishiSunak @BorisJohnson to keep face masks and other PPE free of VAT. Will you join me and add your name now?  https://t.co/2K56qnmTHa,en,"[{'screen_name': 'rishisunak', 'name': 'rishi sunak', 'id': '1168968080690749441'}, {'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",['https://speakout.38degrees.org.uk/campaigns/ppe-tax-petition?utm_campaign=rtxVGlMk4P&utm_content=&utm_medium=twitter&utm_source=share'],[],0,0,1,[],[],https://twitter.com/harwood2112/status/1321975154289856513,False,,0,,Liverpool,,,,,,[],,,,
1321959651479556101,1321834417199947777,2020-10-30 00:38:36 CET,2020-10-30,00:38:36,+0200,707002140020105220,pharris61150809,P Harris#fbpe rejoin # NHS,,"@SimonClarkeMP @ClevelandPolice @BorisJohnson @pritipatel Lucky them to get a1/5of all, the police  trained last year most be a tory seat",en,[],[],[],0,0,0,[],[],https://twitter.com/PHarris61150809/status/1321959651479556101,False,,0,,Liverpool,,,,,,"[{'screen_name': 'SimonClarkeMP', 'name': 'Simon Clarke MP', 'id': '1715832776'}, {'screen_name': 'ClevelandPolice', 'name': 'Cleveland Police', 'id': '104509023'}, {'screen_name': 'BorisJohnson', 'name': 'Boris Johnson', 'id': '3131144855'}, {'screen_name': 'pritipatel', 'name': 'Priti Patel', 'id': '61660254'}]",,,,
1321944141698314244,1321944141698314244,2020-10-29 23:36:58 CET,2020-10-29,23:36:58,+0200,1433444286,smiggerpaul,Paul Smith ✋,,I've signed the petition calling for @RishiSunak @BorisJohnson to keep face masks and other PPE free of VAT. Will you join me and add your name now?  https://t.co/RmIzJpjw1E,en,"[{'screen_name': 'rishisunak', 'name': 'rishi sunak', 'id': '1168968080690749441'}, {'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",['https://speakout.38degrees.org.uk/campaigns/ppe-tax-petition?utm_campaign=A5sMl7nFmq&utm_content=&utm_medium=twitter&utm_source=share'],[],0,0,0,[],[],https://twitter.com/smiggerpaul/status/1321944141698314244,False,,0,,Liverpool,,,,,,[],,,,
1321924853964918784,1321924853964918784,2020-10-29 22:20:20 CET,2020-10-29,22:20:20,+0200,532465897,kenkillingbeck,Ken K,,I've signed the petition calling for @RishiSunak @BorisJohnson to keep face masks and other PPE free of VAT. Will you join me and add your name now?  https://t.co/RQTRqe2Mwd,en,"[{'screen_name': 'rishisunak', 'name': 'rishi sunak', 'id': '1168968080690749441'}, {'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",['https://speakout.38degrees.org.uk/campaigns/ppe-tax-petition?utm_campaign=f6oGP6eX8B&utm_content=&utm_medium=twitter&utm_source=share'],[],0,0,0,[],[],https://twitter.com/KenKillingbeck/status/1321924853964918784,False,,0,,Liverpool,,,,,,[],,,,
1321912493057495041,1321912493057495041,2020-10-29 21:31:12 CET,2020-10-29,21:31:12,+0200,2773116307,floodph1,phili,,I've signed the petition calling for @RishiSunak @BorisJohnson to keep face masks and other PPE free of VAT. Will you join me and add your name now?  https://t.co/BAKKp3JGJc,en,"[{'screen_name': 'rishisunak', 'name': 'rishi sunak', 'id': '1168968080690749441'}, {'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",['https://speakout.38degrees.org.uk/campaigns/ppe-tax-petition?utm_campaign=speakout_campaign_7863&utm_medium=twitter&utm_source=thank_you'],[],0,0,0,[],[],https://twitter.com/floodph1/status/1321912493057495041,False,,0,,Liverpool,,,,,,[],,,,
1321903103378137088,1321903103378137088,2020-10-29 20:53:54 CET,2020-10-29,20:53:54,+0200,2773116307,floodph1,phili,,I've signed the petition calling for @RishiSunak @BorisJohnson to keep face masks and other PPE free of VAT. Will you join me and add your name now?  https://t.co/sE8L0BPqsN,en,"[{'screen_name': 'rishisunak', 'name': 'rishi sunak', 'id': '1168968080690749441'}, {'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",['https://speakout.38degrees.org.uk/campaigns/ppe-tax-petition?utm_campaign=4rKleIL6dp&utm_content=&utm_medium=twitter&utm_source=share'],[],0,0,0,[],[],https://twitter.com/floodph1/status/1321903103378137088,False,,0,,Liverpool,,,,,,[],,,,
1321896778418036736,1321896778418036736,2020-10-29 20:28:46 CET,2020-10-29,20:28:46,+0200,21448770,susiestraw,sue thompson,,I've signed the petition calling for @RishiSunak @BorisJohnson to keep face masks and other PPE free of VAT. Will you join me and add your name now?  https://t.co/SL8F31R2oB,en,"[{'screen_name': 'rishisunak', 'name': 'rishi sunak', 'id': '1168968080690749441'}, {'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",['https://speakout.38degrees.org.uk/campaigns/ppe-tax-petition?utm_campaign=Vauksg4w5t&utm_content=&utm_medium=twitter&utm_source=share'],[],0,0,0,[],[],https://twitter.com/susiestraw/status/1321896778418036736,False,,0,,Liverpool,,,,,,[],,,,
